Departamento,Solicitud
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Duplicado de diploma de Derecho
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Administrativo,Duplicado de diploma de Ingeniería
Administrativo,Certificación de horas en grupo de teatro
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Administrativo,Certificación de horas en deporte universitario
Registro y control,Inscripción extemporánea a Programación
Administrativo,Duplicado de diploma de Ingeniería
Registro y control,Homologar Física II cursada en U de los Andes
Registro y control,Homologar Programación cursada en U Javeriana
Administrativo,Duplicado de diploma de Medicina
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Problema con el pago de laboratorios (comprobante #71312)
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Homologar Química Orgánica cursada en U de los Andes
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,Problema con el pago de laboratorios (comprobante #50791)
Registro y control,Homologar Física II cursada en U de los Andes
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Inscripción extemporánea a Cálculo I
Registro y control,Inscripción extemporánea a Álgebra Lineal
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de laboratorios (comprobante #33519)
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Inscripción extemporánea a Química Orgánica
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificado de notas 2017-1 para beca
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Quiero cancelar la materia Programación
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,Problema con el pago de matrícula (comprobante #87154)
Apoyo financiero,Problema con el pago de laboratorios (comprobante #28014)
Registro y control,Homologar Programación cursada en U Nacional
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Duplicado de diploma de Medicina
Administrativo,Certificado de notas 2022-1 para visado
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Problema con el pago de matrícula (comprobante #59476)
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Aplazar semestre por problemas de salud
Registro y control,Inscripción extemporánea a Química Orgánica
Registro y control,Homologar Programación cursada en U externado
Registro y control,Inscripción extemporánea a Física II
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Solicitud de beca por dificultades económicas
Administrativo,Certificación de horas en semillero de investigación
Apoyo financiero,Problema con el pago de laboratorios (comprobante #94299)
Administrativo,Duplicado de diploma de Medicina
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Programación cursada en U Javeriana
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Quiero cancelar la materia Programación
Registro y control,Quiero cambiar de grupo la materia Programación
Administrativo,Certificado de notas 2019-2 para beca
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por dificultades económicas
Administrativo,Duplicado de diploma de Medicina
Administrativo,Certificación de horas en grupo de teatro
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Inscripción extemporánea a Física II
Registro y control,Inscripción extemporánea a Programación
Registro y control,Homologar Ética cursada en U del Valle
Registro y control,Homologar Ética cursada en U externado
Administrativo,Duplicado de diploma de Derecho
Registro y control,Homologar Cálculo I cursada en U Nacional
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Física II cursada en U externado
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Aplazar semestre por situación familiar
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cambiar de grupo la materia Programación
Apoyo financiero,Solicitud de beca por dificultades económicas
Apoyo financiero,Problema con el pago de matrícula (comprobante #41052)
Apoyo financiero,¿Cómo aplicar al descuento por familia numerosa?
Registro y control,Inscripción extemporánea a Programación
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Solicito copia legalizada de mi acta de grado
Registro y control,Quiero cambiar de grupo la materia Álgebra Lineal
Apoyo financiero,Solicitud de beca por proyecto de investigación
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificación de horas en deporte universitario
Administrativo,Certificado de notas 2021-1 para beca
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Constancia de matrícula vigente con sello oficial
Administrativo,Certificación de horas en semillero de investigación
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Certificado de notas 2015-1 para trabajo
Apoyo financiero,Problema con el pago de laboratorios (comprobante #24850)
Apoyo financiero,Solicitud de beca por excelencia académica
Registro y control,Error en el sistema: no aparece mi inscripción
Registro y control,Inscripción extemporánea a Álgebra Lineal
Registro y control,Inscripción extemporánea a Ética
Administrativo,Certificación de horas en semillero de investigación
Administrativo,Certificación de horas en deporte universitario
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Apoyo financiero,¿Cómo aplicar al descuento por convenio SENA?
Administrativo,Certificado de notas 2022-2 para trabajo
Administrativo,Certificado de notas 2020-2 para beca
Registro y control,Inscripción extemporánea a Química Orgánica
Administrativo,Certificado de notas 2021-2 para trabajo
Administrativo,Certificado de notas 2020-2 para trabajo
Registro y control,Inscripción extemporánea a Física II
Administrativo,Certificado de notas 2021-1 para trabajo
Administrativo,Duplicado de diploma de Derecho
Administrativo,Certificado de notas 2020-2 para visado
Administrativo,Duplicado de diploma de Medicina
Registro y control,Aplazar semestre por problemas de salud
Administrativo,Certificación de horas en voluntariado
Apoyo financiero,Problema con el pago de laboratorios (comprobante #25760)
Registro y control,Aplazar semestre por situación familiar
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Programación cursada en U Javeriana
Administrativo,Certificado de notas 2015-2 para visado
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Administrativo,Certificado de notas 2020-2 para trabajo
Administrativo,Certificación de horas en voluntariado
Administrativo,Certificado de notas 2015-2 para beca
Registro y control,Error en el sistema: no aparece mi inscripción
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificado de notas 2020-2 para beca
Administrativo,Solicito copia legalizada de mi acta de grado
Administrativo,Certificación de horas en grupo de teatro
Administrativo,Constancia de matrícula vigente con sello oficial
Registro y control,Inscripción extemporánea a Cálculo I
Administrativo,Solicito copia legalizada de mi acta de grado
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Administrativo,Constancia de matrícula vigente con sello oficial
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Registro y control,Homologar Cálculo I cursada en U Nacional
Registro y control,Quiero cancelar la materia Química Orgánica
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Renovación de ayuda económica por deporte competitivo
Registro y control,Error en el sistema: no aparece mi inscripción
Apoyo financiero,Renovación de ayuda económica por proyecto de investigación
Registro y control,Inscripción extemporánea a Álgebra Lineal
Apoyo financiero,Solicitud de beca por excelencia académica
Apoyo financiero,Problema con el pago de laboratorios (comprobante #73142)
Registro y control,Homologar Química Orgánica cursada en U del Valle
Apoyo financiero,Renovación de ayuda económica por excelencia académica
Apoyo financiero,Problema con el pago de laboratorios (comprobante #36128)
Apoyo financiero,Reclamo: cobro duplicado en mi factura
Registro y control,Homologar Cálculo I cursada en U Nacional
Registro y control,Error en el sistema: no aparece mi inscripción
